scenario,profit_EUR
473,286552.75722
474,283098.9003
475,271828.55558
476,410675.85654500005
477,434481.739745
478,425644.43938500003
479,402898.661665
480,1194085.491585
481,1229617.515745
482,1234826.076425
483,1202649.460985
484,1180738.790885
485,1218197.804525
486,1226707.6245249999
487,1193002.941205
488,809027.341955
489,828842.962955
490,856494.940995
491,824572.884875
492,155173.034605
493,161032.630925
494,159596.070485
495,156333.460245
496,386933.700605
497,399847.179245
498,396805.534605
499,388860.642645
500,469235.664805
501,486612.148165
502,493124.867205
503,480799.298845
504,136533.38524
505,144413.6238
506,149015.38836
507,143021.83164
508,74937.831315
509,78956.866395
510,79484.910675
511,76969.162715
512,572605.663155
513,605508.728995
514,604755.3388350001
515,586980.0859150001
516,564760.78259
517,581469.71247
518,589968.22395
519,576892.22511
520,15521.524549999998
521,16354.89575
522,16269.966550000001
523,15493.786390000001
524,-28228.992485
525,-28107.046524999998
526,-27977.176605
527,-26505.744885
528,80231.93374000001
529,81928.01070000001
530,77582.4317
531,79984.70406
532,389322.22138
533,404575.88558
534,394952.40074
535,394594.07762
536,666870.8402
537,690119.75052
538,698477.21596
539,679286.5404
540,450688.50902
541,471211.46833999996
542,467841.47166000004
543,457677.4639
544,587549.3886
545,612187.31632
546,613881.9564
547,600068.12848
548,459191.95218
549,475960.43786
550,476167.29574000003
551,463949.59978
552,346691.63114
553,359726.32122000004
554,359573.33014
555,349384.3909
556,526649.949345
557,546239.105865
558,542027.261345
559,520152.457345
560,875550.280965
561,939110.2442450001
562,937056.883085
563,887490.1484050001
564,840512.7209050001
565,906993.553665
566,906281.130105
567,854997.0713850001
568,708804.5197599999
569,744712.93728
570,779661.64968
571,728988.50804
572,109083.785375
573,118445.844655
574,116110.84817499999
575,110531.241495
576,306970.39278500003
577,327231.942065
578,324227.931025
579,311977.72326500004
580,373935.952835
581,400715.542475
582,406384.793515
583,387495.223635
584,117969.086405
585,128562.09880499999
586,133739.887805
587,125817.58024499999
588,49677.783245
589,54462.510365
590,52788.197765
591,50517.424405
592,410170.48729
593,453373.91489
594,445385.02836999996
595,423256.55341
596,433612.23634
597,458937.48122
598,461357.59282
599,445028.4049
600,14130.00751
601,14934.338909999999
602,14718.49191
603,13941.319950000001
604,-23257.653135
605,-23736.298615
606,-23723.169775
607,-21455.866935
608,26105.269604999994
609,29294.744285000008
610,20614.857604999983
611,25587.14700499999
612,228862.348635
613,253034.702995
614,229960.305955
615,234088.552195
616,489641.13791000005
617,524613.95027
618,523905.46643000003
619,501351.05875
620,284312.04783
621,320390.95479
622,311756.55587
623,293451.98095
624,408493.27156
625,449704.63616000005
626,447327.70924000005
627,424293.19748000003
628,338890.60676
629,366285.03099999996
630,364466.68744
631,344237.49896
632,217526.43476
633,244144.83296
634,242523.08295999997
635,223430.46839999998
636,335713.20726500003
637,369997.79170500004
638,360618.70866500004
639,329558.64954500005
640,370548.7428049999
641,436708.02384499996
642,412424.73360499996
643,379712.90116499993
644,393303.72481000004
645,457693.66497000004
646,431383.18645000015
647,398807.4631299998
648,179121.29414000013
649,219279.13630000025
650,216763.1706200001
651,186045.11838000012
652,47454.69294000004
653,58688.39546000003
654,54573.25694000002
655,50985.84158000004
656,89119.48944000003
657,112145.17011999997
658,107421.88003999996
659,101427.36695999996
660,119276.50970500009
661,150128.40822500002
662,141884.29994500004
663,131993.525945
664,25885.041075000016
665,37231.423754999996
666,36319.911995
667,32731.469795000026
668,29439.568335000004
669,32215.337975000002
670,29048.364375000005
671,28869.127615000005
672,164366.1646599999
673,217792.90085999994
674,201034.41281999997
675,193043.11949999997
676,177647.10781000007
677,201390.61693000008
678,185591.94517000008
679,181205.40901000006
680,4306.531279999997
681,4685.308439999997
682,4496.658359999999
683,4270.502719999997
684,-7310.976894999996
685,-7612.642734999998
686,-7852.957094999994
687,-5412.2058149999975
688,50625.18831500001
689,53326.863635
690,47346.869275000005
691,50684.69399500001
692,171169.0325149999
693,189138.2188349999
694,166571.85839499993
695,171656.28323499992
696,227314.63346499996
697,259084.428785
698,237263.815145
699,229387.817345
700,158773.75679999997
701,197593.39088000002
702,187007.6092
703,169713.66428000008
704,184261.28977499995
705,228944.16521500004
706,216718.563775
707,199319.31981499994
708,131930.28083
709,164265.69686999999
710,155841.20758999995
711,140728.53566999995
712,127780.06178500003
713,153793.63718500006
714,148570.86358499998
715,133568.96730500006
716,197955.66903000005
717,229520.06023
718,218539.47231000004
719,193535.86023000005
720,479646.8391600002
721,549441.6542000003
722,529903.7361600002
723,492641.05616000027
724,485060.09982999996
725,554555.5919899999
726,533709.09623
727,495791.80990999984
728,315172.50817499997
729,357317.4912550001
730,364643.0270150001
731,327930.273135
732,59221.35475
733,70359.67666999997
734,66580.60226999999
735,62497.09010999999
736,134662.02434499998
737,157405.40190499998
738,152608.60798499998
739,145417.61650499998
740,177057.90025500004
741,208486.42749500013
742,203198.6913750001
743,190988.6222550001
744,46437.21195
745,58009.40827
746,58461.55258999999
747,53603.35114999999
748,30603.588599999995
749,33938.940160000006
750,30738.156639999994
751,30065.28811999999
752,206629.04618999996
753,258454.23894999997
754,242993.89675
755,230695.42342999997
756,233679.10525999998
757,259838.04758
758,247677.84694000008
759,239984.90282000002
760,5933.068205000001
761,6398.920445000002
762,6187.077685
763,5810.961685
764,-11973.016135000002
765,-12416.142414999998
766,-12630.937935000002
767,-10307.830454999996
768,39328.807295000006
769,42341.61949499999
770,35350.26801500001
771,39274.711855
772,171084.669155
773,192537.26275500003
774,168306.35791500006
775,173727.49055500003
776,283582.34354500007
777,318764.169705
778,301437.18114500004
779,289276.50890500005
780,175098.48858000006
781,215252.38750000007
782,204399.17178000003
783,186983.35090000008
784,224493.154875
785,270506.68863499997
786,259812.543275
787,241081.34507500002
788,174942.32587499998
789,207443.80199500005
790,200245.327675
791,183897.62399499997
792,141491.83924999996
793,169429.20016999997
794,165084.73476999998
795,148567.70912999997
796,219361.511175
797,253315.97789500002
798,242635.65057500004
799,215839.81465500005
800,1798703.36965
801,1812285.21677
802,1857928.08393
803,1830201.62833
804,1790079.97514
805,1805376.10854
806,1856279.99402
807,1826017.11406
808,1238960.978255
809,1247277.647855
810,1306792.6874550001
811,1278291.2839350002
812,228153.784105
813,229974.580305
814,233252.74366500002
815,230793.207785
816,539963.000035
817,546432.463995
818,550344.6303950001
819,544101.984955
820,705654.114485
821,713498.749085
822,737761.2390050001
823,725757.810565
824,201471.67647
825,206204.59855
826,216670.41091
827,210572.16679
828,104919.79023000001
829,108433.89863000001
830,112182.17355
831,108970.53687000001
832,839434.8967299999
833,853551.03093
834,875148.19185
835,855090.48709
836,861572.7963950001
837,872845.4107550001
838,908440.1119550001
839,890374.317595
840,19202.176730000003
841,20038.75701
842,20055.25777
843,19205.15217
844,-41829.36167
845,-41857.25155
846,-41901.78215
847,-41277.20811
848,119012.98965
849,119366.44561
850,117943.09141000001
851,118574.40073000001
852,591128.6262
853,601658.91628
854,610351.7741200001
855,604918.22772
856,1033665.23072
857,1047724.88184
858,1089855.40312
859,1063802.2652
860,671025.02782
861,675139.17946
862,682715.03926
863,679319.2307
864,872762.5236450001
865,880270.173165
866,899574.645525
867,890785.128365
868,679475.016475
869,684735.109275
870,698007.0260350001
871,690036.3916750001
872,527532.70627
873,529068.27123
874,536774.54603
875,531838.17579
876,783713.217195
877,791834.1732750001
878,800152.3015950001
879,784571.9213950001
880,1657128.84972
881,1682963.77028
882,1725275.33612
883,1687114.74676
884,1632147.57249
885,1660465.68301
886,1707307.16129
887,1666532.71853
888,1220994.532505
889,1235013.8846649998
890,1300950.654745
891,1260274.691905
892,207308.6009
893,210726.7567
894,213388.49566000002
895,209600.46906
896,512704.5636
897,522713.48748
898,526299.9282
899,517183.7014
900,669721.10158
901,681466.42034
902,705651.91126
903,689536.1953799999
904,198196.477455
905,204137.806175
906,215210.000575
907,207559.502695
908,92101.92363
909,96200.04359
910,98748.29918999999
911,95583.56575
912,767687.821735
913,786080.637095
914,803789.6813749999
915,779983.956775
916,801632.4197
917,816327.49014
918,849175.33638
919,828740.5336600001
920,19304.21295
921,20174.84095
922,20125.27027
923,19215.69835
924,-40324.024475
925,-40595.285875
926,-40723.397435000006
927,-39661.279395000005
928,85800.27010499999
929,86974.36746499999
930,82888.636665
931,85187.29194499999
932,501080.976155
933,516497.919075
934,516823.793675
935,514600.091715
936,949911.02299
937,968694.86815
938,1006836.4691100001
939,978019.32179
940,590979.03435
941,602832.88951
942,607215.28051
943,599687.25179
944,791626.42371
945,807101.36039
946,824184.37931
947,810273.67319
948,628916.89318
949,638952.56362
950,651111.35474
951,638534.1545
952,466149.006765
953,474241.507885
954,481299.447325
955,471321.13096499996
956,691810.372575
957,707026.522775
958,712748.3891350001
959,691503.173455
960,1149888.049865
961,1194530.837945
962,1204535.7044250001
963,1167733.404225
964,1128980.4016200001
965,1175702.0858200002
966,1187991.72786
967,1149233.4078600002
968,847131.772915
969,872655.010035
970,911495.388075
971,872327.9217950001
972,145065.90009
973,151761.14197
974,150884.08729
975,147111.78193
976,366679.93875
977,381731.63683
978,380320.74579
979,371825.31755000004
980,464381.81013500004
981,484372.294535
982,494121.94441500003
983,479850.325455
984,137319.62244500002
985,145776.262245
986,151915.75432500002
987,145189.590685
988,64955.947185000005
989,69033.201065
990,68775.798385
991,66559.571185
992,529041.0321
993,562433.1270600001
994,562338.2425
995,543242.37686
996,550713.7775000001
997,570451.11306
998,581007.8421
999,566608.0701
1000,14518.886005
1001,15288.838845
1002,15142.100325000001
1003,14378.421045000001
1004,-28819.436795
1005,-29068.065675
1006,-29102.743715
1007,-27553.508875
1008,58310.84956
1009,60411.10764
1010,54154.727880000006
1011,57791.07656
1012,341368.98394000006
1013,359897.13798
1014,346187.36757999996
1015,348521.53742
1016,648094.520865
1017,674798.129465
1018,684996.4822249999
1019,664351.766105
1020,411650.883925
1021,436151.22456500004
1022,432024.632285
1023,420628.467125
1024,551745.401425
1025,580690.417945
1026,583617.8760650001
1027,567986.678865
1028,440078.62324
1029,459608.82396
1030,461534.50184000004
1031,447573.28404
1032,323384.64147000003
1033,340509.41699
1034,341350.03515
1035,328360.97919
1036,481942.13203
1037,505952.09167
1038,501779.72446999996
